Mes;ID;GSI;HSI;FC
Nov;1;10.32;1.07;0.62
Nov;2;0.00;0.66;0.70
Nov;3;3.24;0.98;0.73
Nov;4;0.59;0.79;0.68
Nov;5;1.15;1.02;0.73
Nov;6;1.22;1.43;0.75
Nov;7;15.35;1.21;0.64
Nov;8;10.38;0.96;0.74
Nov;9;0.99;1.09;0.71
Nov;10;3.29;1.25;0.64
Nov;11;0.33;0.56;0.80
Feb;12;0.38;0.84;0.53
Feb;13;0.10;0.91;0.61
Feb;14;3.31;1.35;0.65
Feb;15;0.52;0.75;0.53
Feb;16;0.50;0.75;0.65
Feb;17;0.77;0.74;0.63
Feb;18;0.50;0.80;0.68
Marz;19;0;0.11;0.51
Marz;20;0;0.40;0.47
Marz;21;0;0.48;0.45
Marz;22;0;0.36;0.43
Marz;23;0;1.42;0.40
Marz;24;0;0.70;0.42
Marz;25;0;0.25;0.39
Marz;26;0;0.97;0.42
Marz;27;0;0.18;0.46
Marz;28;0;1.99;0.34
Marz;29;0;2.14;0.35
Marz II;30;1.16;1.37;0.56
Marz II;31;1.89;1.56;0.63
Marz II;32;4.95;1.67;0.62
Marz II;33;1.15;1.45;0.60
Marz II;34;4.72;1.63;0.62
Marz II;35;0.58;1.22;0.57
Marz II;36;1.28;1.19;0.64
Marz II;37;0.59;1.05;0.61
Marz II;38;0.28;0.76;0.53
Marz II;39;2.65;0.81;0.53
Marz II;40;0;0.63;0.79
Marz II;41;0.23;1.35;0.72
Marz II;42;1.70;1.25;0.55
Marz II;43;2.00;1.06;0.55
May;44;1.19;1.16;0.61
May;45;3.11;1.89;0.59
May;46;1.01;1.17;0.59
May;47;0.70;0.79;0.58
May;48;1.31;0.97;0.59
May;49;0.85;0.72;0.49
May;50;0;1.15;0.33
May;51;0;0.90;0.41
May;52;0;0.87;0.36
May;53;0;0.52;0.37
May;54;0;0.93;0.34
Agost;55;5.72;1.16;0.70
Agost;56;0.52;1.06;0.70
Agost;57;2.99;1.59;0.68
Agost;58;2.06;0.79;0.67
AgostII;59;11.42;1.62;0.53
AgostII;60;0.44;1.46;0.61
AgostII;61;0.49;1.13;0.57
AgostII;62;0.24;1.38;0.57
AgostII;63;0.34;1.11;0.52
AgostII;64;0.00;0.88;0.51
AgostII;65;0.18;0.82;0.51
AgostII;66;0.00;0.97;0.50
AgostII;67;0.00;0.32;0.47
AgostII;68;0.00;0.64;0.45
;;;;
;;;;
;;;;
;;;;
